ID_PUNTO,SITE_NO,REP_NO,VISIT_ID,LON,LAT,OBSERVADOR,OBS_ID,LOCALIDAD,FECHA,MES,DIA,ANO,SP_CHECK,ELEV,X,Y,METHOD,PERIOD
CESS012,12,CESS012DOR43702630,1,-75.4061,4.5278,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Patagioenas fasciata,2203,454950.9503,500480.9944,Survey,Modern
CESS012,12,CESS012DOR43702630,1,-75.4061,4.5278,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Synallaxis azarae,2203,454950.9503,500480.9944,Survey,Modern
CESS013,13,CESS013DOR43702700,1,-75.4044,4.5294,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pheugopedius mystacalis,2203,455139.6345,500657.7527,Survey,Modern
CESS013,13,CESS013DOR43702700,1,-75.4044,4.5294,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pheugopedius mystacalis,2203,455139.6345,500657.7527,Survey,Modern
CESS013,13,CESS013DOR43702700,1,-75.4044,4.5294,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Synallaxis azarae,2203,455139.6345,500657.7527,Survey,Modern
CESS013,13,CESS013DOR43702700,1,-75.4044,4.5294,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Grallaria ruficapilla,2203,455139.6345,500657.7527,Survey,Modern
CESS013,13,CESS013DOR43702700,1,-75.4044,4.5294,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Henicorhina leucophrys,2203,455139.6345,500657.7527,Survey,Modern
CESS013,13,CESS013DOR43702700,1,-75.4044,4.5294,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Colaptes rubiginosus,2203,455139.6345,500657.7527,Survey,Modern
CESS013,13,CESS013DOR43702700,1,-75.4044,4.5294,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ortalis columbiana,2203,455139.6345,500657.7527,Survey,Modern
CESS013,13,CESS013DOR43702700,1,-75.4044,4.5294,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Icterus chrysater,2203,455139.6345,500657.7527,Survey,Modern
CESS013,13,CESS013DOR43702700,1,-75.4044,4.5294,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Thripadectes holostictus,2203,455139.6345,500657.7527,Survey,Modern
CESS013,13,CESS013DOR43702700,1,-75.4044,4.5294,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Grallaria nuchalis,2203,455139.6345,500657.7527,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Vireo leucophrys,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Ognorhynchus icterotis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Atlapetes flaviceps,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Atlapetes flaviceps,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pheugopedius mystacalis,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Tangara vassorii,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Myioborus miniatus,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Colibri cyanotus,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Piaya cayana,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pygochelidon cyanoleuca,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Zimmerius chrysops,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pionus chalcopterus,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pionus chalcopterus,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pionus chalcopterus,2203,455283.7731,500525.0248,Survey,Modern
CESS014,14,CESS014DOR43702729,1,-75.4031,4.5282,DOR,2,"LA ESTRELLA, RIO TOCHE",8/25/2019,8,25,2019,Pionus chalcopterus,2203,455283.7731,500525.0248,Survey,Modern
